0012543000                                48300
0280506120                                 2025
0280508120                                 2150
0280508160                                 2025
0280508200                                 2150
0280508350                                 2500
0280508600                                 2275
0280606120                                 2150
0280612300                                 3725
0280612400                                 3600
0286508200                                 2000
0286610250                                 2400
0350505100                                 2850
0362304120                                 1800
0364106160                                 2025
0410108300                                 2275
0505410350                                 2025
0506410350        0505410350               2025
0583306200                                 2500
0741606160                                 2400
0743655160                                 1800
0911801060                                 1800
0911801100                                 1800
0911801140                                 2275
0911802080                                 1800
0956903380                                 4750
1096231300                                 2150
1096234650                                 7425
1096234690        5096230020               3475
1096235410                                 9000
1096300880                                 3225
1096390340                                20425
1132400791        8980366540              25400
1137700700                                61900
1157798160                              1665000
1767980190                                 2650
1825160280                                11500
1825160281        1825160280              11500
1876100530        1876100531              15075
1876100531                                15075
1879970080                               174100
1884057500                                49100
5                 0012543000              45100
5093000650                                 2625
5095000130                                 2400
5096050050                                 4825
5096230020                                 3475
5096250790        8970491450              10875
5111410172        5111410691              63900
5111410690        5111410691              63900
5111410691                                63900
5111410721        8970189362              72300
5157500560        8973572650             229500
5341320020                                 2025
5825530475                                52500
5867600270                                80200
5867602140                                94600
5867605281        5867605282              97500
5867605282                                88800
5867605291                               142500
5867605292        5867605293             124400
5867605293                               124400
5867605371                                88800
5867605372                                95700
5867605381                               327500
5867605411                               337600
5867605431        5867605432             608200
5867605432                               412000
5867605441                               327500
5867605461                               344300
5867605490                               355100
5867605543        5867605544             726900
5867605544                               528000
5867605550                               146300
5867605551                               181700
5867605552                               181700
5867605590                               255900
5867605593                               112900
5867605621                                 4500
5867605651                                 4500
5867605671                                 4500
5867605780                               934100
5867605831                               850600
5867605940                               315000
5867605970                               565600
5867605980                               114700
5867605990                               398500
5867606071                               160800
5867606111                               211500
5867606140                               115900
5867606141                                73700
5867608150                               147300
5867608360                                 9200
5867608621        5867608622             138500
5867608640                               486400
5867608800                               106900
5867608820                                97700
5867608821                                59400
5867608831                                55200
5867608990                              1674400
5867609010                               472000
5867609322                              1354200
5867610650                               540600
5867610651                               540600
5867610652                               387700
5867610681                               991900
5867611611                               126800
5867612050                               292400
5867612090                               134900
5867612091        5867612092             138500
5867612092                               125500
5867612100                               117900
5867612101                               138500
5867613590                               134900
5867613591        5867613590              56900
5867613681                               542400
5867614340        5867614342             416900
5867614341                               442900
5867614342                               230500
5867614630                               211500
5867614720                               211500
5867614970                                53400
5867614980                                42600
5867615641                               160900
5867615651                               160900
5867616290                                 3250
5867619090                                53400
5867619130                                51600
5867619140                                 8975
5867619160                                42600
5867619170                                56900
5867619430                                27800
5867628851                               368000
5867628861                               368000
5867628871                               368000
5867628881                               368000
5867629101                               249800
5867630720                                79800
5867630730                                59800
5867630772                                90400
5867633220                               676000
5873110820                                29450
5873111303                              4239900
5873111482                               338500
5873113250                                 2775
5873113260                                 4050
5873113280                               354800
5873113330                                11275
5873114080        5873111300               1800
5874119870                                12325
5874122510                                37500
5874122520                                65700
5874122810                               220700
5874123330                               377700
5874123340                                77800
5877030010                                63600
5877030020                               222400
5877030030                                21975
5878136944        5878136945             167300
5878136945                               167300
5878168630                               379700
5878168640                               379700
5878321911                               131000
5884021170                               227000
5884026750                               759600
5884028220                               185900
5884031780                               975100
5884031800                               494300
5884032210                               772800
5884032250                              1364400
5885000240                              1721300
6202060S          DBA2060S               129600
6821778           6821778X               119600
6821778X                                 139600
8159546490                                13375
89                                        42000
8941049930                                 2150
8941060403                                 4175
8941077620                                 3225
8941222625                               249100
8941258591        8971713310               7150
8941318931                               237700
8941339700        8981717000               7850
8941434790        8944147963              15725
8941481590                                87000
8941558690                                 9000
8941567000                                14825
8941583280        8979125310               2500
8941592420                               115600
8941734120                                 3850
8941789300                                 2625
8941789310                                 2625
8942152110                                 2275
8942211500                                 2500
8942223140                                 2025
8942269430                                 6275
8942270410                                66900
8942322250                                28775
8942348973                                73900
8942356270        8942322250              28775
8942395010                                 2625
8942417660        8970393251             250400
8942430690        8972210910               3300
8942479031        8973494161              19500
8942575920                                 5650
8942588190                                73500
8942790430                                 2625
8942799210                                 2650
8942919270                                 2150
8943184091                                 6275
8943185202                                 8075
8943589126        8971655300             193400
8943589136        8971655310             191500
8943685010                                 4050
8943692993        8980374800              49100
8943708280                                 4725
8943762611                                14825
8943762620                                 7275
8943794410                               122900
8943890600                                 2000
8943891951                               134000
8943897601                               226700
8944077080                                11500
8944077110        8980365940               6150
8944077180                                 4200
8944077240                                12900
8944147963                                15725
8944347700                                 1900
8944353081                                13425
8944353430                                 7275
8944353440                                 7275
8944353450                                 7275
8944353460                                 7275
8944353470                                 7275
8944353550                                40100
8944420990                                 3775
8944423980                                 3850
8944423991                                22500
8944489841                                18825
8944556670        8971334161               6275
8944606870                                 2500
8944627340                                 3250
8944720990                                28850
8944721180                                14825
8944797240                                 3150
8944801920                                 2500
8944832230        8970666100             189400
8970123341                               350400
8970181252                                40000
8970189362                                72300
8970214012                               394000
8970350831                                61600
8970350840                                51300
8970353830                                 3200
8970353852                               242200
8970353990        8983193290              16800
8970388311        8970388313             271500
8970388312        8970388313             271500
8970388313        8970388311             271500
8970392660        8973656540              36000
8970393251                               250400
8970420280                                18950
8970435280                                 1800
8970467053                                 7700
8970477372                               283400
8970491450                                10875
8970494750                                 2250
8970497081        8944147963              23400
8970622940                                94200
897062294051                              33050
8970663450        8980806610             162900
8970666100                               189400
8970692870        8973814560               6900
8970715611                                34900
8970785920                                24300
8970805611                                 7050
8970808970        8970808971             150800
8970808971                               150800
8970845070                                13275
8970863436        8971480762            2844200
